flag,id,first_name,last_name,email,gender,job_title,amount
U,3,Chic,Ickowics,cickowics2@booking.com,Male,Research Associate,135.54
U,4,Pascale,Jedrzaszkiewicz,pjedrzaszkiewicz3@auda.org.au,Male,Safety Technician IV,173.21
U,5,Sara,Whiterod,swhiterod4@hhs.gov,Female,Assistant Manager,147.85
D,6,Mariska,Antrum,mantrum5@nytimes.com,Female,Tax Accountant,16.37
I,11,Giralda,Baglan,gbaglan0@stanford.edu,Female,Computer Systems Analyst IV,72.08
I,12,Ceil,Hulstrom,chulstrom1@ucla.edu,Female,VP Sales,86.38
I,13,Willabella,Eliff,weliff2@tinypic.com,Female,Clinical Specialist,7.76
I,14,Nerti,Mil,nmil3@goo.ne.jp,Female,GIS Technical Architect,45.9
I,15,Rutherford,Shergill,rshergill4@1und1.de,Male,General Manager,68.05
I,16,Alyssa,Mattschas,amattschas5@tinypic.com,Female,Automation Specialist II,55.49
I,17,Kele,Wessel,kwessel6@yolasite.com,Male,Clinical Specialist,41.59
I,18,Seka,McDool,smcdool7@technorati.com,Female,Financial Advisor,28.0
I,19,My,Lethieulier,mlethieulier8@google.com.br,Male,Help Desk Operator,12.88
I,20,Thaine,Bleackly,tbleackly9@canalblog.com,Male,Structural Engineer,68.38
